Country,City,Latitude,Longitude,ids
Afghanistan,Kabul,34.5166667,69.1833344,206438243714129301
Afghanistan,Kandahar,31.61,65.6999969,3989709682839270157
Afghanistan,Mazar-e Sharif,36.7069444,67.1122208,-1753203170956615243
Afghanistan,Herat,34.34,62.1899986,3997985819922875425
Afghanistan,Jalalabad,34.42,70.4499969,4640904947374566997
Afghanistan,Konduz,36.72,68.8600006,6146202161927962190
Afghanistan,Ghazni,33.5535554,68.4268875,-1679948393602056751
Afghanistan,Balkh,36.7586111,66.8961105,3280985734955836785
Afghanistan,Baghlan,36.12,68.6999969,7632694752698376797
Afghanistan,Gardez,33.59,69.2200012,3898368001042202639
Afghanistan,Khost,33.3380556,69.9202805,6201265646068405433
Afghanistan,Khanabad,36.68,69.1100006,261121147933757467
Afghanistan,Tashqorghan,36.6952778,67.6980591,-2036249663104192960
Afghanistan,Taloqan,36.7360511,69.5345078,3614820967346032934
Afghanistan,Cool urhajo,34.2654452,67.3451614,-6774983924837597810
Afghanistan,Pol-e Khomri,35.9425,68.7191696,4462202032882583977
Afghanistan,Sheberghan,36.6672222,65.7536087,5955272564282137266
Afghanistan,Charikar,35.013611,69.1713867,-8132367313083875722
Afghanistan,Sar-e Pol,36.2155556,65.9363861,-4979427326250065971
Afghanistan,Paghman,34.5875,68.953331,2534060826365611171
Afghanistan,Samangan,36.2652778,68.0166702,7076855664102358753
Afghanistan,Nawab City,31.58,64.3600006,4570044668540959677
Afghanistan,Gereshk,31.8188889,64.5647202,-381815042013103542
Afghanistan,Farakh,32.37,62.1100006,316393577997217929
Afghanistan,Feyzabad,37.1175,70.5797195,1782024301102773255
Afghanistan,Sindand,33.3,62.1399994,867297673996062702
Afghanistan,Andkhvoy,36.9525,65.1236115,8904901804030364036
Afghanistan,Rostaq,37.1275,69.8305588,-8879009476197096069
Afghanistan,Qaravol,37.2211111,68.7799988,-5702386721599803226
Afghanistan,Nahrin,36.0652778,69.1338882,-3562644844580475017
Afghanistan,Baraki Barak,33.9675,68.9486084,-6555501051180692515
Afghanistan,At Khvajeh,37.0841667,69.4805527,2994579541387463874
Afghanistan,Eslam Qal`eh,34.6666667,61.0666656,5697058443515502022
Afghanistan,Karokh,34.4791667,62.5869446,2079432790565179241
Afghanistan,Mehtar Lam,34.6713889,70.2094421,7727600512099823176
Afghanistan,Kushk,33.2961111,61.9527779,-8811197503922097642
Afghanistan,Shahrag,34.1083333,64.3033371,7609818657543764893
Afghanistan,Asmar,35.03,71.3499985,3050832715656040705
Afghanistan,Sang-e Charak,35.8497222,66.4369431,-7287774123203035224
Afghanistan,Khash,31.5291667,62.7924995,8300241217698549670
Afghanistan,Achin,34.12,70.6999969,-6875091193050730739
Afghanistan,Jabal os Saraj,35.118333,69.2377777,8109429981325342625
Afghanistan,Qarqin,37.4127778,66.047226,6191912142601250193
Afghanistan,Mirabad,30.4352778,61.8347206,-1511861832099752597
Afghanistan,Zarghun Shahr,32.8472222,68.4458313,-8008450851455343550
Afghanistan,Sangin,32.0733333,64.8338852,4756108069885617750
Afghanistan,Panjab,34.3875,67.0233307,5598224289974382994
Afghanistan,Uruzgan,32.92,66.6299973,-312862785197786605
Afghanistan,Pul-i-Alam,33.98,69.0299988,3427041938036993558
Afghanistan,Chiras,35.4166667,65.9833298,4062108688978516580
Afghanistan,Hokumati Azraw,34.17,69.6399994,6836383291064464204
Afghanistan,Qareh Bagh,34.9405556,61.7775002,-8244272343418778020
Afghanistan,Kalat-i-Ghilzai,32.1,66.9100037,3825741584322108722
Afghanistan,Ashkasham,36.6833333,71.5333328,-7721205807206492785
Afghanistan,Jorm,36.8666667,70.8344421,5069689085025021463
Afghanistan,Kuhestan,34.6538889,61.1977768,-7762186662358459071
Afghanistan,Tokzar,35.9488889,66.4199982,849619664985430902
Afghanistan,Char Burj,34.24,62.1899986,3410291646385889511
Afghanistan,Lar Gerd,35.4897222,66.6636124,5283485616986441805
Afghanistan,Rudbar,30.15,62.5999985,902101730962178440
Afghanistan,Farkhar,36.5722222,69.8580551,9078978776638208663
Afghanistan,Zendeh Jan,34.3455556,61.7316666,5250099802247128097
Afghanistan,Anar Darreh,32.7622222,61.6525002,-7253217049627549647
Afghanistan,Emam Saheb,37.1822222,68.9124985,3251603622939426457
Afghanistan,Darzab,35.9783333,65.3791656,-7329955072608159095
Afghanistan,`Alaqehdari Deh-e Shu,30.4347222,63.3072205,-1786504298952862330
Afghanistan,Tagow Bay,35.7016667,66.0613861,-5665632599289041410
Afghanistan,Darvishan,31.1333333,64.1924973,7482791549859693384
Afghanistan,Qarchi Gak,37.0355556,66.788887,581786874360485261
Afghanistan,Dasht-e Archi,37.1333333,69.1666641,-6288743009090019083
Afghanistan,Qal`eh Shahr,35.5483333,65.5677795,94835771013249225
Afghanistan,Zareh Sharan,33.1466667,68.7916641,8277623651762304882
Afghanistan,Tir Pol,34.5952778,61.2669449,-5407224641391861859
Afghanistan,Mohmand Darrah,34.24,70.8700027,-5464606649287213983
Afghanistan,Yengi Qal`eh,37.4672222,69.609169,-553346733752475398
Afghanistan,Tagao,34.85,69.6399994,-8324420166162586727
Afghanistan,Khandud,36.9488889,72.3169479,5920181265300015534
Afghanistan,Mir Bachcheh Kowt,34.7488889,69.1191635,9087892197116788958
Afghanistan,Dorufchah,36.4397222,70.0838852,6265520143990827604
Afghanistan,Dahaneh-ye Ghowri,35.9075,68.4938889,-517713676505094870
Afghanistan,Lab-Sar,36.0261111,66.8386078,3614540312169590344
Afghanistan,Darwazkay,35.02,71.0400009,3826089277855402478
Afghanistan,Munay,34.98,71.25,-4650052202658723891
Afghanistan,Mulkanah,34.94,71.0599976,3353797398865218873
Albania,Tirana,41.3275,19.8188896,9153558365704367438
Albania,Durres,41.3230556,19.4413891,-2687777772030965363
Albania,Elbasan,41.1125,20.082222,6849480089049752196
Albania,Vlore,40.4666667,19.4897213,-8686447599832838227
Albania,Shkoder,42.0682829,19.5125771,-3574924708258124299
Albania,Fier-Cifci,40.7166667,19.5666676,2973782687707515686
Albania,Korce,40.6186111,20.7808342,3299615057460757996
Albania,Berat,40.7058333,19.9522228,-2857644509476852507
Albania,Lushnje,40.9419444,19.7049999,-6757555527128508751
Albania,Kavaje,41.1855556,19.5569439,-5863424185803315207
Albania,Lac,41.6355556,19.7130547,2984693841167861910
Albania,Gjirokaster,40.0758333,20.1388893,-3836749050281317025
Albania,Patos Fshat,40.6427778,19.6508331,-2129413035749676195
Albania,Kruje,41.5091667,19.792778,971526568198733249
Albania,Lezhe,41.7836111,19.6436119,-2992202759094889782
Albania,Kucove,40.8002778,19.916666,-4885579605714051608
Albania,Kukes,42.0769444,20.4219437,90906271744185046
Albania,Burrel,41.6102778,20.0088882,-7517911798216016372
Albania,Sarande,39.8755556,20.0052776,-4310795274131590127
Albania,Peshkopi,41.685,20.4288883,8923857701119398280
Albania,Cerrik,41.0316667,19.9758339,-6581225771606002661
Albania,Shijak,41.3455556,19.5672226,3910778720310773543
Albania,Corovode,40.5041667,20.2272224,1307113543612903659
Albania,Librazhd-Qender,41.1969444,20.335556,-2904275280050602117
Albania,Tepelene,40.2958333,20.0191669,-5097101485401330253
Albania,Gramsh,40.8697222,20.1844444,-5286991888391631043
Albania,Bulqize,41.4916667,20.2219448,8267423019684181897
Albania,Kamez,41.3816667,19.7602787,6945473577576883525
Albania,Permet,40.2336111,20.3516674,6525630161632118687
Albania,Polican,40.6122222,20.0980549,5533814263454671597
Albania,Fushe-Kruje,41.4783333,19.7177773,8234320394362696205
Albania,Ballsh,40.5988889,19.7347221,7215722857926088577
Albania,Rreshen,41.7675,19.875555,6257449240535259067
Albania,Mamurras,41.5775,19.6922226,9194776304344236133
Albania,Bajram Curri,42.3572222,20.0730553,-9137911871593128994
Albania,Erseke,40.3377778,20.6788883,5353416911098351779
Albania,Peqin,41.0461111,19.751112,8631286870583427001
Albania,Bilisht,40.6275,20.9899998,2975280435192238736
Albania,Selenice,40.5305556,19.6358337,6949283775396552775
Albania,Roskovec,40.7375,19.7022228,7985534756444288235
Albania,Puke,42.0444444,19.8997231,2645601227277934478
Albania,Rrogozhine,41.0763889,19.6652775,827509965575381374
Albania,Vore,41.3908333,19.6550007,-29589005760144664
Albania,Memaliaj,40.3516667,19.980278,-1643663966356229702
Albania,Ura Vajgurore,40.7688889,19.8777771,-2798102068581163789
Albania,Himare,40.1016667,19.7447224,197468211708523646
Albania,Koplik,42.2136111,19.436388,-1039504242830584595
Albania,Perrenjas-Fshat,41.0666667,20.5352783,434413605841340957
Albania,Delvine,39.9511111,20.0977783,-7014576680138618586
Albania,Maliq,40.7058333,20.6997223,-1891913840996032310
Albania,Libohove,40.0311111,20.2630558,-5732802446151625882
Albania,Shengjin,41.8136111,19.5938892,-8248282672439672856
Albania,Leskovik,40.1513889,20.5972214,-2057589577075186516
Albania,Orikum,40.3252778,19.4713898,-5040595160827589361
Albania,Kelcyre,40.3130556,20.1894436,7098408209614354618
Albania,Fushe-Arrez,42.0622222,20.0166664,1628766296746779604
Albania,Rubik,41.7744444,19.7861118,-5411359516015632422
Albania,Milot,41.6838889,19.7155552,-8869018211726113029
Albania,Kurbnesh,41.7797222,20.0836105,-824303524889703759
Albania,Konispol,39.6588889,20.1813889,-8843735907941291584
Albania,Krrabe,41.2155556,19.9713898,-1627773595496479017
Albania,Fierze,42.2647222,20.0269451,3568396701435881310
Albania,Klos,41.5069444,20.0866661,7313137721785178071
Albania,Kutreq,41.3966667,19.9616661,-6048115917359452054
Albania,Collak,41.3152778,19.8661118,-8912834368329567490
Albania,Ballaj,41.3222222,19.8802776,-7459791038821429337
Albania,Kubes,41.4166667,19.8511105,3862151285944593753
Albania,Kurte,41.4930556,19.9972229,-4804940158374029193
Albania,Melcize,41.3952778,19.8222218,9211759129771290976
Albania,Livadhet,41.4080556,19.9047222,622224825611348574
Albania,Gurra e Vogel,41.2863889,19.8883324,-5979262428050438675
Albania,Celiku,41.2761111,19.8522224,-5599139879237917795
Albania,Kamere,41.4719444,19.9708328,7257812407476601038
Albania,Mal Pjec,41.4786111,19.9547215,3108107945050591835
Albania,Dallashi,41.2830556,19.8763885,-8729430147384459368
Albania,Shejleret,41.3072222,19.8858337,3945806670709284123
Albania,Kokli,41.3091667,19.9286118,-8033742253920575455
Albania,Shugyrk,41.44,19.9302769,491622077098251312
Albania,Metaj,41.4933333,19.9052773,9034757300217791755
Albania,Marice,41.4216667,19.9591675,-5437132428728685538
Albania,Panec,41.2847222,20.0063896,9035907458238280658
Albania,Balajt e Poshtem,41.4205556,20.1397228,6260625788939006192
Albania,Blishte,41.4430556,20.1466675,6296280002308256956
Albania,Shengjun,41.4891667,20.1375008,-5540098901214581800
Albania,Rucaj,41.4661111,20.1555557,6292748408984698322
Albania,Kotaj,41.4333333,20.2008324,-5337813900851320879
Albania,Peshk,41.4055556,20.1980553,8657861189654707695
Albania,Bize,41.3408333,20.1980553,-8759949589358820009
Albania,Berberaj,41.3144444,20.2027779,-9087084134380726344
Albania,Panjet,41.3208333,20.1561108,-6450019234634541733
Albania,Ruc,41.3219444,20.1105556,-2575944405061209658
Albania,Xhyre,41.2869444,20.0283337,-2679016153394150792
Albania,Vakumona i Siperme,41.2816667,20.0697231,-2429783749728455847
Albania,Varros,41.3025,20.0933342,3896163474313402431
Albania,Tejlumaj,41.4783333,20.0258331,-8594693543824992800
Albania,Bic,41.2825,20.145834,-1594230828599497768
Albania,Gjorkaj,41.2780556,20.1705551,-64319393735697959
Albania,Rinas,41.2861111,20.166111,-140223250882045323
Albania,Ballgjin,41.3086111,20.1933327,2535906602483104194
Algeria,Algiers,36.7630556,3.0505557,57137193696782433
Algeria,Oran,35.6911111,-0.6416667,-8259693729030750994
Algeria,Constantine,36.365,6.6147223,-8962635236344262609
Algeria,Batna,35.555971,6.1741447,-7608040984124659471
Algeria,Bab Ezzouar,36.7166667,3.1833334,-6776757429824090417
Algeria,Annaba,36.9,7.7666669,945373888401398066
Algeria,Sidi Bel Abbes,35.1938889,-0.6413889,2288658251971331350
Algeria,Ech Chettia,36.1956637,1.2584496,-3953571190002714317
Algeria,Bejaia,36.75,5.0833335,-3519562810324252361
Algeria,Skikda,36.8791667,6.9066668,-1690526558212393144
Algeria,El Achir,36.0666667,4.6305556,6717413650037739644
Algeria,Medea,36.2675,2.75,-1415014243430973842
Algeria,Bechar,31.6166667,-2.2166667,3543737653397048890
Algeria,Tlemcen,34.8783333,-1.3150001,-5488157945476223062
Algeria,Mostaganem,35.9333333,0.0902778,383282029335864478
Algeria,El Eulma,36.15,5.6833334,-6315606641423622261
Algeria,Saida,34.8333333,0.15,2902024484347171267
Algeria,Guelma,36.4661111,7.4338889,7776348574332135072
Algeria,Bordj el Kiffan,36.7475,3.1930556,8503436907410777053
Algeria,Ain Oussera,35.4513889,2.9058332,7297481647968240664
Algeria,Laghouat,33.8,2.8833332,-7547586802177916201
Algeria,Ain Beida,35.7963889,7.3927779,-2832382554406974174
Algeria,Baraki,36.6691667,3.0952778,-999979721633709324
Algeria,Oum el Bouaghi,35.8775,7.1136112,-3222716391954244606
Algeria,Messaad,34.1666667,3.5,1929916328055624762
Algeria,Barika,35.3897222,5.3766665,9066633555872098812
Algeria,Beni Mered,36.5230556,2.8625,-2163080269869833007
Algeria,Aflou,34.1088889,2.1019444,1822500113824857109
Algeria,El Khroub,36.2633333,6.6936111,1771883631862637736
Algeria,Rouissat,31.9272222,5.3497224,-5651312482976054219
Algeria,Berrouaghia,36.1366667,2.9130557,-7373885522622888835
Algeria,Ksar el Boukhari,35.8855556,2.7508333,-1144552841402815822
Algeria,Khemis Miliana,36.2622222,2.2180555,-5425283869228051165
Algeria,Azzaba,36.7394444,7.105278,4341864778056621949
Algeria,Tamanrasset,22.785,5.522778,2354442664298741558
Algeria,Ain Touta,35.3766667,5.896111,-4848444450569444571
Algeria,Cheria,35.2730556,7.7519445,5634799451792806537
Algeria,Birkhadem,36.7127778,3.0616667,-6547498912666007790
Algeria,Chelghoum el Aid,36.1594444,6.165,-8924233236029622272
Algeria,Sidi Aissa,35.8913889,3.771111,-6184169609548144644
Algeria,Larba,36.5666667,3.1500001,3166389168458746820
Algeria,Mila,36.4502778,6.2644444,-8383007815799730708
Algeria,Bir el Ater,34.7333333,8.0500002,-8938702866378292319
Algeria,Sougueur,35.1913889,1.4983333,-4869205339676629130
Algeria,Ain Fakroun,35.9763889,6.8755555,-427998370673995117
Algeria,Tolga,34.7166667,5.3833332,-5715711964032442881
Algeria,Es Senia,35.6511111,-0.6341667,-8261806150630035070
Algeria,Bir el Djir,35.72,-0.545,8645620658411894802
Algeria,Akbou,36.4611111,4.5333333,2811984769659366082
Algeria,Besbes,36.7022222,7.8472223,858710960067132338
Algeria,Sidi Khaled,34.3833333,5.0,3979942653176560345
Algeria,Ain Sefra,32.75,-0.5833333,6270500333394409612
Algeria,Frenda,35.0619444,1.0422221,-6096181169413568688
Algeria,Bougara,36.5405556,3.0852778,-7994608231848281735
Algeria,Hamma Bouziane,36.4130556,6.5974998,6199206075419775380
Algeria,Reguiba,33.5666667,6.7166667,-1528876113888802998
Algeria,Meftah,36.6194444,3.2252779,7614032248945088953
Algeria,Oued Rhiou,35.9633333,0.9136111,-1873143893892298687
Algeria,Boufarik,36.5705556,2.9108334,8385907195415090909
Algeria,Sig,35.5277778,-0.1952778,-424038488867465743
Algeria,Ksar Chellala,35.2122222,2.3188889,-745372245035811864
Algeria,Sidi Moussa,36.6044444,3.0902779,-6150824165909869481
Algeria,Ras el Oued,35.9461111,5.0327778,-1964622028895893171
Algeria,Lakhdaria,36.5622222,3.5944445,8994908029086111215
Algeria,Drean,36.6838889,7.7463889,5850796932755312886
Algeria,Reghaia,36.7422222,3.3413889,8222264889389304715
Algeria,Boghni,36.5422222,3.9530556,-8143814218667012376
Algeria,Dar Chioukh,34.9,3.4833333,-3784183548382774465
Algeria,Sedrata,36.1288889,7.5280557,1714365610385292068
Algeria,Djamaa,33.5333333,6.0,-6264031593703180748
Algeria,Mansoura,34.865,-1.3466667,6407138274495795659
Algeria,Telerghma,36.1152778,6.3641667,-3499113846267315264
Algeria,Remchi,35.0611111,-1.4261111,-6554962144631298350
Algeria,Birine,35.635,3.2249999,4623415590273877636
Algeria,Sour el Ghozlane,36.1502778,3.6891668,801835295036941085
Algeria,Metlili Chaamba,32.2666667,3.6333332,5099822817922077386
Algeria,Khemis el Khechna,36.6486111,3.3305557,-1400963728260733071
Algeria,Timimoun,29.25,0.25,-2357745523737710774
Algeria,I-n-Salah,27.2166667,2.4666667,-5964573571750644618
Algeria,Touggourt,33.1,6.0666666,7846342317629391247
Algeria,Merouana,35.6286111,5.9116669,-3573266115757036166
Algeria,Kerkera,36.9291667,6.5855556,-3098569165224249458
Algeria,El Hadjar,36.8047222,7.7383332,7696611917599122735
Algeria,Beni Saf,35.3036111,-1.3808333,-2579796367666245876
Algeria,Boudouaou,36.7305556,3.4102778,2207909738910124226
Algeria,Berriane,32.8333333,3.7666667,8171821264196058318
Algeria,Oued Fodda,36.1841667,1.5327778,-8080682077718496686
Algeria,Bou Arfa,36.4666667,2.8166666,-908547777354323485
Algeria,El Attaf,36.2247222,1.6727778,-8451868812755055712
Algeria,El Affroun,36.4669444,2.6252778,1032199680683594326
Algeria,`Ain el Hadjel,35.6758333,3.8822222,-3363486229794544362
Algeria,Hennaya,34.9513889,-1.3680556,6356237825009828745
Algeria,Tazoult-Lambese,35.4863889,6.2552776,838834292132974785
Algeria,Draa el Mizan,36.535,3.833611,2385141960790487271
Algeria,Timizart,36.8,4.2666669,-1885351948889279290
Algeria,Sebdou,34.6425,-1.3330556,-7959901767351199028
Algeria,Tebesbest,33.1166667,6.0833335,8970872411297595930
Algeria,Souma,36.5183333,2.9052777,8531030730379685060
United States,New York City,40.7142691,-74.0059738,-3647154702871202781
United States,Los Angeles,34.0522342,-118.2436829,7825744189812389947
United States,Chicago,41.850033,-87.6500549,8706287691951379431
United States,Houston,29.7632836,-95.3632736,4724544209296815256
United States,Philadelphia,39.952335,-75.1637878,3733388314723217434
United States,Phoenix,33.4483771,-112.0740356,-6400425696438541613
United States,San Antonio,29.4241219,-98.4936295,-8228625890982360771
United States,San Diego,32.7153292,-117.1572571,-8626447451136066498
United States,Dallas,32.7830556,-96.8066635,-4896075365860196073
United States,Detroit,42.331427,-83.0457535,3994427974637012194
United States,San Jose,37.3393857,-121.8949585,7608747202695375490
United States,Jacksonville,30.3321838,-81.6556473,-772591920256911874
United States,Indianapolis,39.7683765,-86.1580429,736186713651243842
United States,Columbus,39.9611755,-82.9987946,5014695717230269287
United States,San Francisco,37.7749295,-122.4194183,-375794568187044029
United States,Austin,30.267153,-97.7430573,8328496851697740027
United States,Memphis,35.1495343,-90.0489807,-491875535929615400
United States,New South Memphis,35.0867579,-90.0567551,1918707823600788595
United States,Fort Worth,32.725409,-97.3208466,7275202569145809567
United States,Baltimore,39.2903848,-76.6121902,-872907832813798304
United States,Charlotte,35.2270869,-80.8431244,2062612782518936710
United States,Boston,42.3584308,-71.0597763,-8816405845554741288
United States,Milwaukee,43.0389025,-87.9064713,-7363333566260308539
United States,South Boston,42.3334312,-71.0494919,1892298660053003546
United States,Seattle,47.6062095,-122.3320694,8352508475267067575
United States,El Paso,31.7587198,-106.4869308,-6173390529166908822
United States,Denver,39.7391536,-104.9847031,6384702969879597048
United States,Washington,38.8951118,-77.0363693,8579655446936610704
United States,Portland,45.5234515,-122.6762085,7484272513851078922
United States,Oklahoma City,35.4675602,-97.5164261,-6446077514322029283
United States,Nashville,36.1658899,-86.7844467,7462451328101075414
United States,Tucson,32.2217429,-110.9264755,2433430512714518673
United States,Albuquerque,35.0844909,-106.6511383,7917136672840545922
United States,New Orleans,29.9546482,-90.0750732,401220545959242650
United States,Long Beach,33.7669623,-118.1892319,4207921440048961641
United States,Las Vegas,36.1749705,-115.1372223,588272425915739598
United States,Sacramento,38.5815719,-121.4944,5519596813076965827
United States,Fresno,36.7477272,-119.7723694,8156453676686109223
United States,Cleveland,41.4994954,-81.6954117,-6440115665467715366
United States,North Kansas City,39.130004,-94.5621796,-3027739323933771224
United States,Kansas City,39.0997266,-94.5785675,-2537391167518799503
United States,Virginia Beach,36.8529263,-75.9779816,-7946071907046859534
United States,Atlanta,33.7489954,-84.3879852,-5577041238023872317
United States,Oakland,37.8043722,-122.2708054,-5766055365675224270
United States,Mesa,33.4222685,-111.8226395,1197452858603600053
United States,Tulsa,36.1539816,-95.992775,-2981423177033970701
United States,Omaha,41.2586096,-95.9377899,4440953160206967051
United States,Miami,25.7742658,-80.1936569,8127521158035965287
United States,Honolulu,21.3069444,-157.8583374,-758441511416746195
United States,Minneapolis,44.9799654,-93.2638397,-300043384261168838
United States,Colorado Springs,38.8338816,-104.8213654,-2060949301532503504
United States,Wichita,37.6922361,-97.3375473,-5792649233013515427
United States,Santa Ana,33.7455731,-117.867836,-4641664018542766320
United States,West Raleigh,35.7868182,-78.6638947,3115212913160139484
United States,Arlington,32.735687,-97.1080627,902744258438197475
United States,Anaheim,33.8352932,-117.914505,-8829274669904341905
United States,Tampa,27.9475216,-82.4584274,7764859065044013550
United States,Saint Louis,38.6272733,-90.1978912,-6444047569318099274
United States,Pittsburgh,40.4406248,-79.9958878,-2344557025714242499
United States,Toledo,41.6639383,-83.5552139,-4175853564779438146
United States,Cincinnati,39.1620036,-84.4568863,3524537500249901417
United States,Riverside,33.9533487,-117.3961563,-5257026362065286119
United States,Bakersfield,35.3732921,-119.0187149,-5190768416013256590
United States,Stockton,37.9577016,-121.2907791,-7897960858672698599
United States,Newark,40.735657,-74.1723633,5135721817998252780
United States,Buffalo,42.8864468,-78.8783722,-3590448360608761540
United States,Corpus Christi,27.8005828,-97.3963776,2154665746610146009
United States,Aurora,39.7294319,-104.8319168,967078336852712578
United States,Raleigh,35.772096,-78.6386108,-5283415578853027732
United States,Saint Paul,44.9444101,-93.093277,8082588273414589295
United States,Lexington-Fayette,38.0497996,-84.4585495,6188595017783471682
United States,Anchorage,61.2180556,-149.9002838,244024751195215870
United States,Plano,33.0198431,-96.6988831,5134525445531214150
United States,Saint Petersburg,27.7708606,-82.6792679,-8022567881680571817
United States,Louisville,38.2542376,-85.759407,-3102184419131536786
United States,Lincoln,40.8000011,-96.6669617,279528858748328145
United States,Glendale,33.5386523,-112.1859894,-6981154035005756572
United States,Henderson,36.0396988,-114.9819336,-3937449131355843843
United States,Jersey City,40.7281575,-74.0776443,-6285177243037203767
United States,Norfolk,36.8468146,-76.2852173,9096800873794121571
United States,Chandler,33.3061605,-111.8412476,3689382621503602361
United States,Greensboro,36.0726355,-79.7919769,-7190642157923177873
United States,Birmingham,33.5206608,-86.8024902,3146914176592863225
United States,Fort Wayne,41.1306041,-85.1288605,-4524350636415273668
United States,Lexington,37.9886892,-84.4777145,6501822598427308096
United States,Hialeah,25.8575963,-80.2781067,54935110871865686
United States,Madison,43.0730517,-89.4012299,-7388894241761656183
United States,Baton Rouge,30.4507462,-91.1545486,1482362612376906787
United States,Garland,32.912624,-96.6388855,-713598804202620594
United States,Modesto,37.6390972,-120.9968796,-2194559106623056056
United States,Paradise,36.0971945,-115.1466675,7274941596799130922
United States,Chula Vista,32.6400541,-117.084198,-4356355801039158296
United States,Lubbock,33.5778631,-101.8551636,-4031828788194461201
United States,Rochester,43.1547845,-77.6155548,7585766180985356585
United States,Laredo,27.506407,-99.5075455,2351285468428946580
United States,Akron,41.0814447,-81.5190048,4135983706535866971
United States,Orlando,28.5383355,-81.3792343,-4147970754138731841
United States,Durham,35.9940329,-78.8986206,3585543810048746969
United States,North Glendale,34.1605626,-118.2645187,8668728859601450407
United States,Scottsdale,33.5092103,-111.8990326,4362443134044921563
Andorra,Andorra la Vella,42.5051514,1.5150619,-5246655410874574052
Andorra,les Escaldes,42.507287,1.5341377,5545320034246315542
Andorra,Encamp,42.5333333,1.5833333,5196674198845772888
Andorra,Sant Julia de Loria,42.4637237,1.4912868,-1549462945577727050
Andorra,la Massana,42.5449867,1.5148258,926299212064079121
Andorra,Canillo,42.5666667,1.6,4210160173214752838
Andorra,Pas de la Casa,42.5427734,1.7336082,-7337172985032270837
Angola,Luanda,-8.8383333,13.2344446,-8570915440472865543
Angola,Huambo,-12.7761111,15.7391663,4528687287810978541
Angola,Lobito,-12.3480556,13.5455561,-8943587629413590865
Angola,Benguela,-12.5783333,13.4072218,2775004575390364557
Angola,Kuito,-12.3833333,16.9333324,2470338996896378132
Angola,Lubango,-14.9166667,13.5,4833078677815226035
