Studio,City,Country,Latitude,Longitude
Evil Eye Pictures,San Francisco,United States,37.7749295,-122.4194183
Stage23,Sydney,Australia,-33.86785,151.2073212
Snowman,Toronto,Canada,43.7001138,-79.4163055
Alt.vfx,Brisbane,Australia,-27.4679357,153.0280914
Snail Games USA,Los Angeles,United States,34.0522342,-118.2436829
UNSEEN,Tokyo,Japan,35.6895266,139.6916809
Bigpoint,Hamburg,Germany,53.55,10
Atomic Arcade,Raleigh,United States,35.772096,-78.6386108
Afterburner Studios,San Francisco,United States,37.7749295,-122.4194183
Netflix,Los Angeles,United States,34.0522342,-118.2436829
Cult of the North,Stockholm,Sweden,59.3325765,18.0649033
Double Dusk,Los Angeles,United States,34.0522342,-118.2436829
Believer Entertainment,Los Angeles,United States,34.0522342,-118.2436829
Volka,Limassol,Cyprus,34.675,33.0333328
Fool's Theory,Bielsko-Biala,Poland,49.8166667,19.0333328
Squanch Games,Raleigh,United States,35.772096,-78.6386108
DNEG,Chennai,India,13.0878385,80.2784729
The Mill,Paris,France,48.85341,2.3487999
Gameloft,Kharkiv,Ukraine,50,36.25
BigStar,New York City,United States,40.7142691,-74.0059738
Amazon Game Studios,Bucharest,Romania,44.4333333,26.1000004
Mojang Studios,Stockholm,Sweden,59.3325765,18.0649033
CGEV,Paris,France,48.85341,2.3487999
Oscar FX,Hyderabad,India,17.3752778,78.4744415
Bubble Creations Digital Studios,Pune,India,18.5195742,73.8553543
Pointfx Studio,Patna,India,25.6,85.1166687
NGX Interactive,Vancouver,Canada,49.2496574,-123.119339
RocketWerkz,Auckland,New Zealand,-36.8666667,174.7666626
Epic Games,Toronto,Canada,43.7001138,-79.4163055
ZeniMax Online Studios,Austin,United States,30.267153,-97.7430573
ZeniMax Online Studios,Madison,United States,43.0730517,-89.4012299
ZeniMax Online Studios,San Diego,United States,32.7153292,-117.1572571
ZeniMax Online Studios,Seattle,United States,47.6062095,-122.3320694
Quantic Dream,Montreal,Canada,45.5167792,-73.6491776
Scopely,Mexico City,Mexico,19.4341667,-99.1386108
Bardel Entertainment,Montreal,Canada,45.5167792,-73.6491776
Treehouse Republic,Dublin,Ireland,53.3330556,-6.248889
A44 Games,Wellington,New Zealand,-41.2785362,174.7766418
Raynault VFX,Montreal,Canada,45.5167792,-73.6491776
Jazz Is Dead,Los Angeles,United States,34.0522342,-118.2436829
AGBO,Los Angeles,United States,34.0522342,-118.2436829
Hypersonic Laboratories,Los Angeles,United States,34.0522342,-118.2436829
Everguild,Madrid,Spain,40.4165021,-3.7025642
G-Space Studio,Limassol,Cyprus,34.675,33.0333328
ANS Animation,Toronto,Canada,43.7001138,-79.4163055
Luma Pictures,Melbourne,Australia,-37.8139966,144.9633179
Goodbye Kansas Studios,Stockholm,Sweden,59.3325765,18.0649033
Framestore,Montreal,Canada,45.5167792,-73.6491776
University of Southern California,Los Angeles,United States,34.0522342,-118.2436829
